user_id,register_time,channel,city_tier,device,age
2816,2026-08-05 22:37:00,抖音信息流,一线,iOS,23
2717,2026-06-25 16:17:00,抖音信息流,一线,Android,32
5364,2026-08-15 19:37:00,高校地推,三线及以下,Android,18
2930,2026-08-19 14:11:00,小红书种草,一线,Android,24
3363,2026-06-19 05:00:00,小红书种草,二线,iOS,22
5166,2026-07-09 11:18:00,小红书种草,一线,iOS,26
1076,2026-06-26 21:57:00,抖音信息流,一线,Android,29
6399,2026-08-06 03:46:00,抖音信息流,二线,iOS,23
4982,2026-06-13 23:00:00,自然流量,新一线,iOS,22
6229,2026-07-11 00:59:00,抖音信息流,一线,iOS,21
2922,2026-07-25 14:28:00,自然流量,一线,Android,31
4020,2026-06-08 11:57:00,小红书种草,一线,Android,21
4332,2026-06-07 19:40:00,高校地推,新一线,iOS,27
7000,2026-06-28 23:04:00,小红书种草,二线,iOS,18
1323,2026-06-24 13:10:00,自然流量,二线,Android,24
7732,2026-07-20 02:50:00,抖音信息流,一线,Android,24
2253,2026-06-17 14:37:00,抖音信息流,二线,Android,25
6655,2026-07-09 04:40:00,抖音信息流,一线,Android,18
7245,2026-06-01 02:30:00,抖音信息流,新一线,Android,27
867,2026-07-31 03:50:00,微信分享裂变,新一线,iOS,18
5592,2026-07-07 05:43:00,微信分享裂变,二线,iOS,27
2466,2026-06-29 08:35:00,小红书种草,新一线,Android,25
466,2026-07-01 08:00:00,小红书种草,一线,Android,23
2883,2026-07-26 10:52:00,抖音信息流,新一线,Android,30
4962,2026-07-03 11:35:00,自然流量,一线,Android,26
7043,2026-07-08 04:24:00,自然流量,一线,Android,20
6241,2026-07-10 07:49:00,小红书种草,二线,Android,19
5448,2026-07-05 17:40:00,抖音信息流,新一线,iOS,30
1503,2026-07-03 23:04:00,抖音信息流,新一线,iOS,24
3916,2026-06-20 02:30:00,抖音信息流,三线及以下,Android,24
3263,2026-07-22 15:59:00,自然流量,新一线,iOS,22
264,2026-07-31 03:05:00,自然流量,一线,iOS,18
3807,2026-07-05 11:42:00,小红书种草,新一线,iOS,25
4085,2026-08-20 20:06:00,抖音信息流,一线,Android,19
7840,2026-08-04 17:36:00,抖音信息流,新一线,Android,19
1812,2026-06-23 21:04:00,抖音信息流,一线,iOS,19
1145,2026-07-14 15:31:00,抖音信息流,二线,iOS,27
5828,2026-07-01 16:56:00,自然流量,三线及以下,iOS,32
2150,2026-07-23 05:22:00,自然流量,新一线,iOS,23
3930,2026-07-06 23:21:00,高校地推,三线及以下,Android,29
6320,2026-06-20 05:33:00,小红书种草,三线及以下,Android,30
3291,2026-07-14 19:42:00,抖音信息流,一线,iOS,29
683,2026-06-12 22:13:00,自然流量,二线,iOS,18
2841,2026-07-15 05:16:00,微信分享裂变,二线,Android,18
1003,2026-06-19 18:36:00,自然流量,二线,Android,21
6756,2026-08-09 00:03:00,自然流量,新一线,Android,24
5130,2026-06-13 01:51:00,高校地推,二线,Android,24
4291,2026-07-30 17:35:00,自然流量,二线,iOS,20
2174,2026-07-02 18:24:00,自然流量,一线,Android,24
484,2026-07-19 22:43:00,抖音信息流,二线,Android,18
3814,2026-06-11 01:24:00,自然流量,一线,Android,22
4415,2026-07-24 14:39:00,自然流量,新一线,iOS,33
519,2026-08-02 11:42:00,自然流量,二线,Android,28
6989,2026-06-22 05:43:00,自然流量,二线,iOS,21
1346,2026-07-16 01:25:00,小红书种草,二线,iOS,25
697,2026-07-15 10:05:00,小红书种草,二线,Android,18
1010,2026-06-26 20:46:00,抖音信息流,新一线,iOS,20
6318,2026-06-23 06:29:00,小红书种草,二线,iOS,26
6596,2026-07-28 04:11:00,抖音信息流,一线,iOS,18
2771,2026-07-08 01:05:00,自然流量,一线,iOS,26
1075,2026-07-08 12:06:00,微信分享裂变,新一线,iOS,18
1340,2026-06-23 12:08:00,抖音信息流,一线,Android,18
2987,2026-07-09 22:39:00,自然流量,一线,iOS,19
7710,2026-06-04 11:27:00,小红书种草,三线及以下,Android,29
6748,2026-07-02 03:01:00,抖音信息流,一线,iOS,35
4422,2026-07-12 19:21:00,自然流量,新一线,iOS,19
3393,2026-07-04 19:05:00,高校地推,一线,iOS,24
1484,2026-06-25 12:24:00,自然流量,新一线,iOS,19
4862,2026-07-19 16:11:00,微信分享裂变,新一线,iOS,26
1935,2026-07-30 20:36:00,小红书种草,一线,iOS,18
1035,2026-07-05 11:58:00,抖音信息流,二线,iOS,23
5485,2026-06-29 22:50:00,微信分享裂变,二线,Android,18
2479,2026-06-19 02:57:00,抖音信息流,三线及以下,Android,18
350,2026-07-29 14:04:00,自然流量,一线,Android,18
4394,2026-07-05 10:58:00,小红书种草,一线,Android,18
4353,2026-07-06 05:39:00,小红书种草,二线,Android,18
7558,2026-06-24 05:41:00,抖音信息流,三线及以下,Android,23
1062,2026-07-06 12:09:00,小红书种草,一线,Android,30
880,2026-06-10 22:02:00,小红书种草,二线,Android,26
5603,2026-08-13 02:32:00,微信分享裂变,一线,Android,30
2543,2026-06-19 06:36:00,抖音信息流,二线,iOS,25
6424,2026-06-17 19:07:00,微信分享裂变,三线及以下,iOS,21
6745,2026-08-01 12:56:00,自然流量,二线,iOS,18
1851,2026-06-12 03:09:00,自然流量,三线及以下,iOS,18
5403,2026-06-23 08:38:00,抖音信息流,一线,Android,23
1678,2026-08-12 17:27:00,抖音信息流,二线,Android,26
1836,2026-06-27 10:41:00,自然流量,新一线,iOS,25
7112,2026-06-24 14:44:00,小红书种草,三线及以下,Android,23
4953,2026-07-31 12:43:00,自然流量,一线,iOS,21
4705,2026-06-30 10:02:00,自然流量,一线,Android,29
5200,2026-07-05 20:18:00,抖音信息流,新一线,iOS,27
458,2026-06-11 11:24:00,抖音信息流,一线,iOS,26
4648,2026-06-25 14:37:00,自然流量,一线,Android,29
6508,2026-06-23 11:07:00,自然流量,三线及以下,iOS,18
3183,2026-06-09 19:01:00,抖音信息流,一线,Android,28
5338,2026-08-19 20:51:00,小红书种草,二线,Android,24
1946,2026-06-16 01:54:00,高校地推,新一线,Android,26
6125,2026-06-19 09:01:00,自然流量,一线,Android,25
3264,2026-07-10 14:56:00,抖音信息流,一线,iOS,24
6523,2026-06-26 12:49:00,自然流量,三线及以下,Android,25
6522,2026-06-26 22:52:00,抖音信息流,一线,Android,23
6703,2026-07-11 10:14:00,高校地推,新一线,Android,28
2989,2026-08-08 02:40:00,自然流量,一线,Android,29
7021,2026-08-13 06:48:00,高校地推,新一线,Android,29
1551,2026-06-30 04:07:00,自然流量,新一线,iOS,20
2165,2026-07-14 19:07:00,微信分享裂变,新一线,iOS,27
587,2026-06-22 03:52:00,自然流量,一线,Android,23
2406,2026-07-24 03:44:00,自然流量,一线,Android,28
6801,2026-07-09 07:30:00,抖音信息流,新一线,iOS,22
3429,2026-07-04 05:57:00,高校地推,二线,Android,21
2610,2026-07-25 11:20:00,抖音信息流,二线,iOS,20
3657,2026-06-06 01:01:00,自然流量,新一线,iOS,27
3215,2026-07-04 07:41:00,自然流量,一线,iOS,24
3535,2026-07-18 20:49:00,小红书种草,一线,iOS,27
3287,2026-07-14 21:14:00,小红书种草,一线,iOS,27
2081,2026-07-17 12:22:00,抖音信息流,新一线,iOS,22
6956,2026-07-18 05:32:00,抖音信息流,三线及以下,Android,18
6488,2026-07-15 01:19:00,小红书种草,三线及以下,iOS,18
648,2026-06-19 23:43:00,抖音信息流,一线,Android,18
223,2026-08-12 03:07:00,小红书种草,一线,Android,26
6890,2026-06-10 02:45:00,小红书种草,二线,iOS,35
7679,2026-08-03 07:41:00,高校地推,新一线,Android,29
24,2026-08-02 01:18:00,微信分享裂变,一线,iOS,18
1906,2026-06-19 19:15:00,抖音信息流,二线,Android,18
4079,2026-06-14 14:25:00,自然流量,二线,Android,19
1555,2026-06-07 08:06:00,自然流量,二线,iOS,21
5724,2026-06-16 12:25:00,微信分享裂变,一线,Android,28
5205,2026-07-24 20:37:00,自然流量,新一线,Android,28
7701,2026-06-11 09:36:00,自然流量,新一线,iOS,22
5841,2026-06-24 12:34:00,抖音信息流,一线,iOS,33
4946,2026-08-11 08:59:00,微信分享裂变,三线及以下,Android,22
1408,2026-07-06 01:26:00,自然流量,新一线,iOS,24
66,2026-07-14 13:54:00,抖音信息流,新一线,Android,27
6341,2026-07-29 14:13:00,微信分享裂变,三线及以下,iOS,18
1045,2026-07-24 12:45:00,自然流量,三线及以下,Android,38
6689,2026-07-10 22:38:00,抖音信息流,二线,Android,19
7925,2026-06-21 00:16:00,微信分享裂变,三线及以下,Android,21
4744,2026-07-30 18:25:00,自然流量,一线,Android,26
2032,2026-07-23 21:34:00,抖音信息流,新一线,Android,27
5825,2026-07-30 01:07:00,抖音信息流,一线,Android,28
5245,2026-07-09 05:54:00,抖音信息流,新一线,iOS,19
5037,2026-06-17 23:51:00,微信分享裂变,二线,Android,18
555,2026-06-30 02:45:00,自然流量,一线,iOS,25
7312,2026-07-03 13:44:00,自然流量,新一线,Android,26
4395,2026-07-13 17:56:00,抖音信息流,新一线,iOS,18
5395,2026-07-02 19:43:00,抖音信息流,二线,iOS,18
3536,2026-06-17 02:15:00,微信分享裂变,二线,Android,24
1700,2026-07-06 15:17:00,小红书种草,新一线,Android,20
6727,2026-06-30 11:19:00,自然流量,二线,Android,21
1056,2026-07-13 19:30:00,小红书种草,新一线,iOS,20
1407,2026-07-27 13:18:00,高校地推,二线,Android,18
3768,2026-08-09 02:16:00,抖音信息流,二线,iOS,23
602,2026-08-01 15:03:00,微信分享裂变,三线及以下,Android,33
1384,2026-06-09 05:56:00,高校地推,一线,iOS,19
3333,2026-08-06 10:01:00,自然流量,新一线,iOS,27
2119,2026-07-29 20:37:00,自然流量,新一线,Android,28
4320,2026-07-19 02:42:00,抖音信息流,三线及以下,Android,22
1913,2026-06-27 05:54:00,高校地推,一线,Android,19
3685,2026-06-23 05:29:00,自然流量,一线,Android,21
7583,2026-07-31 21:10:00,自然流量,三线及以下,Android,20
